name,price,brand,specs,company,reviewID,score
Redmi 12C,"Rs. 27,799",Redmi,4GB RAM -128GB ROM,Redmi,001,4.4
Redmi Note 12,"Rs. 51,999",Xiaomi,12 (8GB-128GB) PTA Approved,Redmi,002,4.7
Samsung A14,"Rs. 34,999",No Brand,4GB/64GB - 5000 mAh,Samsung,003,4.5
"['Infinix', 'Note']","Rs. 64,499",No Brand,30 Pro 8-256 GB,Infinix,004,4.7
Redmi A2+ -,"Rs. 22,499",Xiaomi,- 3GB/64GB - Mediatek,Redmi,005,4.7
"['Realme', 'Narzo']","Rs. 32,999",No Brand,50A Prime (4GB-128GB) PTA,Realme,006,4.2
"['Like', 'New']","Rs. 106,999",Apple,Phones - Used Apple,Like,007,5.0
Tecno CAMON 20,"Rs. 48,599",Tecno,20 8GB RAM-256GB ROM,Tecno,008,4.6
A04S,"Rs. 38,499",Samsung,,A04S,009,4.7
"['Tecno', 'SPARK']","Rs. 41,099",Tecno,10 PRO 8GB RAM,Tecno,010,4.5
Redmi A2+,"Rs. 22,099",Redmi,3GB - 64GB 5000mAh,Redmi,011,4.6
"['Like', 'New']","Rs. 70,999",Apple,Phones - Used Apple,Like,012,2.3
"['Like', 'New']","Rs. 97,999",Apple,Phones - Used Apple,Like,013,5.0
"['Like', 'New']","Rs. 70,999",Apple,Phones - Used Apple,Like,014,5.0
Redmi note 12,"Rs. 50,499",Redmi,12 8GB RAM -128GB,Redmi,015,3.2
Samsung A24,"Rs. 72,999",Samsung,8GB+128GB,Samsung,016,4.6
"['SPARX', 'NEO']","Rs. 29,499",No Brand,7 ULTRA 6+128GB ||,SPARX,017,4.5
"['Honor', 'X5']","Rs. 19,999",Honor,Dual SIM 2GB RAM,Honor,018,4.7
Redmi 12C ||,"Rs. 28,799",No Brand,|| 4GB Ram 128GB,Redmi,019,4.7
"['Infinix', 'Note']","Rs. 47,999",Infinix__,"30 , 8GB RAM",Infinix,020,4.7
"['Infinix', 'Hot']","Rs. 36,499",Infinix,"30 , 8GB RAM",Infinix,021,4.8
Samsung A34 -,"Rs. 114,999",Samsung,- 8GB/256GB - 6.6,Samsung,022,4.9
"['vivo', 'V29e']","Rs. 109,999",Vivo,5G - 8+8GB Extended,vivo,023,4.0
"['itel', 'A60s']","Rs. 22,999",itel,6.6″ HD+ Display |,itel,024,4.3
samsang galaxy,"Rs. 53,999",Samsung,6/128,Samsung,025,4.3
"['Like', 'New']",-,no brand,-,-,026,-
"['Redmi', '12C']","Rs. 70,999",Apple,Phones - Used Apple,Like,027,5.0
"['Like', 'New']","Rs. 28,499",Redmi,"- 6.71"" Inch Display",Redmi,028,4.4
"['A57', '3gb']","Rs. 97,999",Apple,Phones - Used Apple,Like,029,1.0
Samsung A54 -,"Rs. 12,799",No Brand,ram and 32gb memory,A57,030,3.8
Redmi A2+ ||,"Rs. 140,999",Samsung,- 8GB/256GB - Android,Samsung,031,4.6
"['Tecno', 'Camon']","Rs. 21,999",Redmi,|| 3GB Ram 64GB,Redmi,032,4.7
"['Xiaomi', 'Redmi']","Rs. 53,999",Tecno,20 - 8GB/256GB -,Tecno,033,4.7
"['Infinix', 'Zero']","Rs. 44,999",Redmi,"12 , 8GB RAM",Xiaomi,034,4.8
OPPO A17,"Rs. 75,000",No Brand,30 4G RAM 8,Infinix,035,-
"Redmi 12C,","Rs. 36,999",OPPO,4GB + 64GB 5000mAh,OPPO,036,4.6
Xiaomi 13T,"Rs. 50,999",Samsung,4/128,Samsung,037,4.7
Sparx S7,"Rs. 28,999",Redmi,4GB RAM 128GB ROM,Redmi,038,4.7
Redmi 12C,"Rs. 169,999",Xiaomi,(12GB-256GB) PTA Approved With,Xiaomi,039,4.6
Redmi Note 12,"Rs. 14,299",Sparx,2GB Ram 32GB Rom,Sparx,040,4.0
Samsung A14,"Rs. 27,799",Redmi,4GB RAM -128GB ROM,Redmi,041,4.4
"['Infinix', 'Note']","Rs. 51,999",Xiaomi,12 (8GB-128GB) PTA Approved,Redmi,042,4.7
Redmi A2+ -,"Rs. 34,999",No Brand,4GB/64GB - 5000 mAh,Samsung,043,4.5
"['Realme', 'Narzo']","Rs. 64,499",No Brand,30 Pro 8-256 GB,Infinix,044,4.7
"['Like', 'New']","Rs. 22,499",Xiaomi,- 3GB/64GB - Mediatek,Redmi,045,4.7
Tecno CAMON 20,"Rs. 32,999",No Brand,50A Prime (4GB-128GB) PTA,Realme,046,4.2
A04S,"Rs. 106,999",Apple,Phones - Used Apple,Like,047,5.0
"['Tecno', 'SPARK']","Rs. 48,599",Tecno,20 8GB RAM-256GB ROM,Tecno,048,4.6
