name,price,brand,specs,company,reviewID,score
Redmi 12C,27799.0,Redmi,4GB RAM -128GB ROM,Redmi,1,4.4
Redmi Note 12,51999.0,Xiaomi,12 (8GB-128GB) PTA Approved,Redmi,2,4.7
Samsung A14,34999.0,No Brand,4GB/64GB - 5000 mAh,Samsung,3,4.5
Infinix  Note,64499.0,No Brand,30 Pro 8-256 GB,Infinix,4,4.7
Redmi A2+ -,22499.0,Xiaomi,- 3GB/64GB - Mediatek,Redmi,5,4.7
Realme  Narzo,32999.0,No Brand,50A Prime (4GB-128GB) PTA,Realme,6,4.2
Like  New,106999.0,Apple,Phones - Used Apple,Like,7,5.0
Tecno CAMON 20,48599.0,Tecno,20 8GB RAM-256GB ROM,Tecno,8,4.6
A04S,38499.0,Samsung,,A04S,9,4.7
Tecno  SPARK,41099.0,Tecno,10 PRO 8GB RAM,Tecno,10,4.5
Redmi A2+,22099.0,Redmi,3GB - 64GB 5000mAh,Redmi,11,4.6
Like  New,70999.0,Apple,Phones - Used Apple,Like,12,2.3
Like  New,97999.0,Apple,Phones - Used Apple,Like,13,5.0
Like  New,70999.0,Apple,Phones - Used Apple,Like,14,5.0
Redmi note 12,50499.0,Redmi,12 8GB RAM -128GB,Redmi,15,3.2
Samsung A24,72999.0,Samsung,8GB+128GB,Samsung,16,4.6
SPARX  NEO,29499.0,No Brand,7 ULTRA 6+128GB ||,SPARX,17,4.5
Honor  X5,19999.0,Honor,Dual SIM 2GB RAM,Honor,18,4.7
Redmi 12C ||,28799.0,No Brand,|| 4GB Ram 128GB,Redmi,19,4.7
Infinix  Note,47999.0,Infinix__,"30 , 8GB RAM",Infinix,20,4.7
Infinix  Hot,36499.0,Infinix,"30 , 8GB RAM",Infinix,21,4.8
Samsung A34 -,114999.0,Samsung,- 8GB/256GB - 6.6,Samsung,22,4.9
vivo  V29e,109999.0,Vivo,5G - 8+8GB Extended,vivo,23,4.0
itel  A60s,22999.0,itel,6.6″ HD+ Display |,itel,24,4.3
samsang galaxy,53999.0,Samsung,6/128,Samsung,25,4.3
Like  New,,no brand,-,-,26,
Redmi  12C,70999.0,Apple,Phones - Used Apple,Like,27,5.0
Like  New,28499.0,Redmi,"- 6.71"" Inch Display",Redmi,28,4.4
A57  3gb,97999.0,Apple,Phones - Used Apple,Like,29,1.0
Samsung A54 -,12799.0,No Brand,ram and 32gb memory,A57,30,3.8
Redmi A2+ ||,140999.0,Samsung,- 8GB/256GB - Android,Samsung,31,4.6
Tecno  Camon,21999.0,Redmi,|| 3GB Ram 64GB,Redmi,32,4.7
Xiaomi  Redmi,53999.0,Tecno,20 - 8GB/256GB -,Tecno,33,4.7
Infinix  Zero,44999.0,Redmi,"12 , 8GB RAM",Xiaomi,34,4.8
OPPO A17,75000.0,No Brand,30 4G RAM 8,Infinix,35,
Redmi 12C ,36999.0,OPPO,4GB + 64GB 5000mAh,OPPO,36,4.6
Xiaomi 13T,50999.0,Samsung,4/128,Samsung,37,4.7
Sparx S7,28999.0,Redmi,4GB RAM 128GB ROM,Redmi,38,4.7
Redmi 12C,169999.0,Xiaomi,(12GB-256GB) PTA Approved With,Xiaomi,39,4.6
Redmi Note 12,14299.0,Sparx,2GB Ram 32GB Rom,Sparx,40,4.0
Samsung A14,27799.0,Redmi,4GB RAM -128GB ROM,Redmi,41,4.4
Infinix  Note,51999.0,Xiaomi,12 (8GB-128GB) PTA Approved,Redmi,42,4.7
Redmi A2+ -,34999.0,No Brand,4GB/64GB - 5000 mAh,Samsung,43,4.5
Realme  Narzo,64499.0,No Brand,30 Pro 8-256 GB,Infinix,44,4.7
Like  New,22499.0,Xiaomi,- 3GB/64GB - Mediatek,Redmi,45,4.7
Tecno CAMON 20,32999.0,No Brand,50A Prime (4GB-128GB) PTA,Realme,46,4.2
A04S,106999.0,Apple,Phones - Used Apple,Like,47,5.0
Tecno  SPARK,48599.0,Tecno,20 8GB RAM-256GB ROM,Tecno,48,4.6
Sumsang Note 11,38499.0,Samsung,,A04S,49,4.7
Iphone 14 pro max,41099.0,Tecno,10 PRO 8GB RAM,Tecno,50,4.5
Like  New,70999.0,Apple,Phones - Used Apple,Like,52,2.3
Like  New,97999.0,Apple,Phones - Used Apple,Like,53,5.0
Like  New,70999.0,Apple,Phones - Used Apple,Like,54,5.0
Redmi note 12,50499.0,Redmi,12 8GB RAM -128GB,Redmi,55,3.2
Samsung A24,72999.0,Samsung,8GB+128GB,Samsung,56,4.6
SPARX  NEO,29499.0,No Brand,7 ULTRA 6+128GB ||,SPARX,57,4.5
Honor  X5,19999.0,Honor,Dual SIM 2GB RAM,Honor,58,4.7
Redmi 12C ||,28799.0,No Brand,|| 4GB Ram 128GB,Redmi,59,4.7
Infinix  Note,47999.0,Infinix__,"30 , 8GB RAM",Infinix,60,4.7
Infinix  Hot,36499.0,Infinix,"30 , 8GB RAM",Infinix,61,4.8
Samsung A34 -,114999.0,Samsung,- 8GB/256GB - 6.6,Samsung,62,4.9
vivo  V29e,109999.0,Vivo,5G - 8+8GB Extended,vivo,63,4.0
itel  A60s,22999.0,itel,6.6″ HD+ Display |,itel,64,4.3
itel A60s,53999.0,Samsung,6/128,Samsung,65,4.3
Like  New,22399.0,itel,4GB RAM* +128GB ROM,itel,66,4.6
Redmi  12C,70999.0,Apple,Phones - Used Apple,Like,67,5.0
Like  New,28499.0,Redmi,"- 6.71"" Inch Display",Redmi,68,4.4
A57  3gb,97999.0,Apple,Phones - Used Apple,Like,69,1.0
Samsung A54 -,12799.0,No Brand,ram and 32gb memory,A57,70,3.8
Redmi A2+ ||,140999.0,Samsung,- 8GB/256GB - Android,Samsung,71,4.6
Tecno  Camon,21999.0,Redmi,|| 3GB Ram 64GB,Redmi,72,4.7
Xiaomi  Redmi,53999.0,Tecno,20 - 8GB/256GB -,Tecno,73,4.7
Infinix  Zero,44999.0,Redmi,"12 , 8GB RAM",Xiaomi,74,4.8
OPPO A17,75000.0,No Brand,30 4G RAM 8,Infinix,75,
Redmi 12C ,36999.0,OPPO,4GB + 64GB 5000mAh,OPPO,76,4.6
Xiaomi 13T,50999.0,Samsung,4/128,Samsung,77,4.7
Sparx S7,28999.0,Redmi,4GB RAM 128GB ROM,Redmi,78,4.7
Motorola  Moto,169999.0,Xiaomi,(12GB-256GB) PTA Approved With,Xiaomi,79,4.6
Samsung Galaxy A04s,14299.0,Sparx,2GB Ram 32GB Rom,Sparx,80,4.0
Itel A05s  ,82000.0,Motorola,Edge Plus 2020 12GB,Motorola,81,5.0
VGOTEL  Note,39999.0,No Brand,A04s 4GB - 128GB,Samsung,82,4.8
Redmi 12C ||,20199.0,No Brand,", 4GB RAM 64GB",Itel,83,
TECNO  CAMON,30999.0,No Brand,23 || 8GB+8GB RAM,VGOTEL,84,
Infinix  Note,27999.0,No Brand,|| 4GB Ram 128GB,Redmi,85,4.9
Oppo  A57,47000.0,No Brand,20 - 8GB+8GB RAM,TECNO,86,5.0
Infinix  Hot,47999.0,Infinix,"30 , 8GB RAM",Infinix,87,4.6
Xiaomi  Redmi,13999.0,No Brand,"- 5.2"" HD Display",Oppo,88,
Xiaomi  Note,37499.0,Infinix,30 || 8GB+8GB Ram,Infinix,89,4.7
Redmi A2+,50399.0,Redmi,Note 12 || 8GB,Xiaomi,90,4.8
Sparx  Neo,49999.0,Redmi,"12 , 8GB RAM",Xiaomi,91,5.0
Itel  S23,22999.0,Xiaomi,(3GB-64GB) PTA Approved With,Redmi,92,4.5
Like  New,25499.0,No Brand,X || 4GB RAM,Sparx,93,4.6
Daraz  Like,28899.0,Shoptech,"- 6.6"" Inch Display",Itel,94,4.6
Vgotel  New,106999.0,Apple,Phones - Used Apple,Like,95,5.0
Tecno  POVA,154999.0,Daraz Like New,New Phones - Used,Daraz,96,5.0
Infinix  Smart,16999.0,VGOTEL,12 - 2GB RAM,Vgotel,97,5.0
Oppo  A57,57599.0,Tecno,5 Pro 5G 256GB,Tecno,98,
Tecno CAMON 20,25300.0,Infinix,7 - 64GB ROM,Infinix,99,4.4
Infinix  Note,26999.0,No Brand,"2022 - 6.5"" HD",Oppo,100,
Vivo V29,46698.0,No Brand,20 8GB RAM-256GB ROM,Tecno,101,5.0
Vivo Y17S ||,47999.0,No Brand,"30 , 8GB RAM",Infinix,102,4.8
Redmi 12 ||,162999.0,No Brand,12GB Ram 256GB Rom,Vivo,103,
itel S23,44999.0,No Brand,|| 6GB+6GB Ram 128GB,Vivo,104,5.0
Redmi  A2,42999.0,Redmi,|| 8GB Ram 128GB,Redmi,105,4.7
Lg  V60,28799.0,No Brand,8GB Ram 128GB Rom,itel,106,4.3
VGOTEL NOTE 23,22999.0,Redmi,"Plus , 3GB RAM",Redmi,107,4.4
Xiaomi  13T,58000.0,LG ReEn,Thing original Official Pta,Lg,108,5.0
Redmi 12 ||,30999.0,No Brand,23 8+8=16GB RAM 256GB,VGOTEL,109,
Sparx  Neo,238499.0,No Brand,"Pro - 6.67"" Inch",Xiaomi,110,
Redmi 12  ,36999.0,No Brand,|| 4GB Ram 128GB,Redmi,111,5.0
Infinix  Note,32599.0,Sparx,7 Ultra 128GB ROM,Sparx,112,4.2
Sony  xperia,43799.0,No Brand,", 8GB Ram 128GB",Redmi,113,5.0
Redmi  Note,48499.0,Infinix,30 RAM 8GB+8GB &,Infinix,114,4.5
Daraz  Like,57000.0,SONY,5 mark 2 official,Sony,115,4.8
Redmi 12C,51399.0,No Brand,12 || 8GB Ram,Redmi,116,4.7
Xiaomi 13T  ,184999.0,Apple,New Phones - Used,Daraz,117,
Infinix  Smart,25890.0,No Brand,4GB RAM + 64GB,Redmi,118,5.0
Itel A60s ||,179999.0,Redmi,", 12GB RAM 256GB",Xiaomi,119,5.0
Tecno  Camon,25999.0,Infinix,"7 , Back Camera",Infinix,120,5.0
itel  S23,22999.0,No Brand,|| 4GB + 128GB,Itel,121,4.9
Xiaomi  13T,48999.0,Tecno,"20 , 8GB RAM",Tecno,122,4.9
Tecno  Camon,33999.0,itel,6.6″ HD+ Display |,itel,123,4.9
Redmi Note 12,169899.0,No Brand,"- 6.67"" Inch Display",Xiaomi,124,5.0
Redmi  Note,49499.0,Tecno,20 - 8GB RAM,Tecno,125,1.0
Realme C51 RAM,50499.0,Redmi,12 8GB Ram 128GB,Redmi,126,4.7
Tecno  Camon,51499.0,No Brand,12 || 8GB Ram,Redmi,127,4.9
Infinix  Hot,33000.0,No Brand,RAM 4GB ROM 64GB,Realme,128,
Redmi 12C ||,61999.0,No Brand,20 Pro 8GB 256GB,Tecno,129,5.0
Infinix  Note,39999.0,No Brand,30 || 8GB Ram,Infinix,130,4.5
Xiaomi  Redmi,27799.0,No Brand,|| 4GB Ram 128GB,Redmi,131,4.7
Xiaomi 13T  ,47980.0,No Brand,30 RAM 8 GB,Infinix,132,4.8
vivo Y36 -,43999.0,No Brand,12 || 8GB +,Xiaomi,133,5.0
vivo Y36 -,172999.0,No Brand,", 12GB RAM 256GB",Xiaomi,134,
Redmi 12C,64999.0,Vivo,- 8GB RAM -,vivo,135,4.3
Redmi  A1,69999.0,Vivo,- 8GB RAM -,vivo,136,5.0
Xiaomi  Redmi,27999.0,Redmi,4GB Ram 5000mAh Battery,Redmi,137,4.5
Tecno Camon 20,19990.0,Redmi,"Plus - 6.52"" Inch",Redmi,138,4.7
Infinix  Note,38999.0,Redmi,"12 , 4GB RAM",Xiaomi,139,5.0
-,47999.0,No Brand,20 8GB Ram 256GB,Tecno,140,5.0
itel S23 ||,62989.0,No Brand,30 Pro 8GB Ram,Infinix,141,
Tecno  Camon,,no brand,-,-,142,
Infinix  Note,33999.0,itel,|| 8GB+8GB Ram 256GB,itel,143,4.9
Itel S23 -,46500.0,No Brand,20 || 8GB ROM,Tecno,144,5.0
Samsung Galaxy A04,62999.0,No Brand,30 Pro || 8GB,Infinix,145,5.0
Redmi  12,32500.0,No Brand,- 8GB Ram -,Itel,146,
Redmi 12C ,34499.0,Samsung,A04 4GB - 64GB,Samsung,147,4.7
Infinix  Note,43950.0,Redmi,"- 6.79"" Inch Display",Redmi,148,4.8
Tecno  Spark,28999.0,Redmi,4GB RAM 128GB ROM,Redmi,149,4.5
Realme  Narzo,64999.0,No Brand,"30 Pro , 8GB",Infinix,150,5.0
itel P17 Pro,37999.0,Tecno,"10 Pro , 8GB",Tecno,151,4.7
Infinix Note 30,30590.0,Realme,"50A Prime - 6.6""",Realme,152,4.8
Xiaomi  Redmi,14500.0,No Brand,Pro 2GB RAM 32GB,itel,153,4.8
Xiaomi  Poco,46697.0,No Brand,30 8GB Ram 256GB,Infinix,154,5.0
VGOTEL  New,54999.0,Redmi,Note 12 - 8GB,Xiaomi,155,4.5
A04E 3/32,110750.0,Xiaomi,"X5 Pro - 6.67""",Xiaomi,156,5.0
-,22999.0,VGOTEL,22 || 4+3 GB,VGOTEL,157,4.8
Infinix  Note,27999.0,Samsung,GB,A04E,158,4.8
Xiaomi  Redmi,,no brand,-,-,159,
Samsung  A54,62900.0,No Brand,30 Pro || 8GB,Infinix,160,
Infinix  Hot,43699.0,No Brand,"12 , 8GB RAM",Xiaomi,161,5.0
Infinix  Note,134999.0,Samsung,"5G - 6.4"" Inch",Samsung,162,5.0
Apple  iPhone,30999.0,Infinix,"20i - 6.6"" Inch",Infinix,163,4.2
Sparx  neo,69999.0,Infinix,"30 Pro , 8GB",Infinix,164,5.0
Infinix  Zero,649999.0,No Brand,15 Pro Max 5G,Apple,165,
vivo y83,21299.0,No Brand,5 plus 3GB Ram,Sparx,166,4.5
Tecno  Spark,75000.0,No Brand,30 4G RAM 8,Infinix,167,
Tecno  Spark,15999.0,No Brand,4GB 64GB Dual Sim,vivo,168,
Itel S23  ,30499.0,No Brand,"10C , 4GB +",Tecno,169,4.5
Tecno  Spark,37999.0,No Brand,10 Pro RAM 8,Tecno,170,4.8
Xiaomi  Poco,32999.0,No Brand,", 8GB RAM 256GB",Itel,171,1.0
Tecno  Camon,39999.0,Tecno,10 Pro || 8GB,Tecno,172,4.6
Infinix  Note,110999.0,No Brand,X5 Pro 5G ||,Xiaomi,173,5.0
Redmi  Note,47999.0,Tecno,"20 , 8GB RAM",Tecno,174,5.0
INFINIX  NOTE,63899.0,Infinix,30 Pro - 6.67,Infinix,175,5.0
Xiaomi  Redmi,88999.0,Redmi,12 Pro - 8GB,Redmi,176,4.8
