id,name,price,brand,specs,company,reviewID,score,link,num_of_qs,num_of_rev
0,Redmi 12C,27799.0,Redmi,4GB RAM 128GB ROM,Redmi,1,4.4,https://www.daraz.pk/products/redmi-12c-4gb-ram-128gb-rom-pta-approved-official-warranty-i426943575-s2026292440.html?search=1,0,14
1,Redmi Note 12,51999.0,Xiaomi,12 (8GB128GB) PTA Approved,Redmi,2,4.7,https://www.daraz.pk/products/redmi-note-12-8gb-128gb-pta-approved-with-official-1-year-warranty-i421074981-s1988370279.html?search=1,7,17
2,Samsung A14,34999.0,No Brand,4GB/64GB  5000 mAh,Samsung,3,4.5,https://www.daraz.pk/products/samsung-a14-4gb64gb-5000-mah-battery-66-display-android-13-i436839264-s2101404094.html?search=1,10,17
3,Infinix  Note,64499.0,No Brand,30 Pro 8256 GB,Infinix,4,4.7,https://www.daraz.pk/products/infinix-note-30-pro-8-256-gb-pta-approved-with-official-1-year-warranty-i436821010-s2101334479.html?search=1,1,18
4,Redmi A2+ ,22499.0,Xiaomi, 3GB/64GB  Mediatek,Redmi,5,4.7,https://www.daraz.pk/products/redmi-a2-3gb64gb-mediatek-helio-g36-android-12-5000-mah-battery-i430451931-s2051820850.html?search=1,2,17
5,Realme  Narzo,32999.0,No Brand,50A Prime (4GB128GB) PTA,Realme,6,4.2,https://www.daraz.pk/products/realme-narzo-50a-prime-4gb-128gb-pta-approved-with-official-1-year-warranty-i436801398-s2101274808.html?search=1,10,16
6,Like  New,106999.0,Apple,Phones  Used Apple,Like,7,5.0,https://www.daraz.pk/products/like-new-phones-used-apple-iphone-x-silver-256-gb-pta-approved-i435087172-s2088535157.html?search=1,9,7
7,Tecno CAMON 20,48599.0,Tecno,20 8GB RAM256GB ROM,Tecno,8,4.6,https://www.daraz.pk/products/tecno-camon-20-8gb-ram-256gb-rom-5000mah-battery-pta-approved-official-brand-warranty-i430005529-s2047788423.html?search=1,9,22
8,A04S,38499.0,Samsung,,A04S,9,4.7,https://www.daraz.pk/products/a04s-4128gb-i424968324-s2012720854.html?search=1,8,16
9,Tecno  SPARK,41099.0,Tecno,10 PRO 8GB RAM,Tecno,10,4.5,https://www.daraz.pk/products/tecno-spark-10-pro-8gb-ram-256gb-rom-pta-approved-official-brand-warranty-i436994487-s2101829511.html?search=1,8,15
